year,global_volume_usd_trillion,us_share_pct,source
2007,4.6,45,Bain/Refinitiv
2008,2.4,45,Bain/Refinitiv
2009,1.8,45,Bain/Refinitiv
2010,2.4,45,Bain/Refinitiv
2011,2.6,45,Bain/Refinitiv
2012,2.5,45,Bain/Refinitiv
2013,2.5,45,Bain/Refinitiv
2014,3.6,45,Bain/Refinitiv
2015,4.5,50,Bain/Refinitiv
2016,3.7,50,Bain/Refinitiv
2017,3.7,50,Bain/Refinitiv
2018,4.0,50,Bain/Refinitiv
2019,3.8,50,Bain/Refinitiv
2020,3.6,50,Bain/Refinitiv
2021,5.9,50,Bain/Refinitiv
2022,3.6,50,Bain/Refinitiv
2023,3.2,50,Bain/Refinitiv
2024,3.3,50,Bain/Refinitiv
2025,4.7,50,Bain/Refinitiv (final)
2026,3.4,50,S&P Global Q1 2026 annualised ($861B x 4)
